GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD02_VD47,Margin of Error; Public transportation (excluding taxicab):
HD01_VD48,"Estimate; Public transportation (excluding taxicab): - Agriculture, forestry, fishing and hunting, and mining"
HD02_VD48,"Margin of Error; Public transportation (excluding taxicab): - Agriculture, forestry, fishing and hunting, and mining"
HD01_VD49,Estimate; Public transportation (excluding taxicab): - Construction
HD02_VD49,Margin of Error; Public transportation (excluding taxicab): - Construction
HD01_VD50,Estimate; Public transportation (excluding taxicab): - Manufacturing
HD02_VD50,Margin of Error; Public transportation (excluding taxicab): - Manufacturing
HD01_VD51,Estimate; Public transportation (excluding taxicab): - Wholesale trade
HD02_VD51,Margin of Error; Public transportation (excluding taxicab): - Wholesale trade
HD01_VD52,Estimate; Public transportation (excluding taxicab): - Retail trade
HD02_VD52,Margin of Error; Public transportation (excluding taxicab): - Retail trade
HD01_VD53,"Estimate; Public transportation (excluding taxicab): - Transportation and warehousing, and utilities"
HD02_VD53,"Margin of Error; Public transportation (excluding taxicab): - Transportation and warehousing, and utilities"
HD01_VD54,Estimate; Public transportation (excluding taxicab): - Information
HD02_VD54,Margin of Error; Public transportation (excluding taxicab): - Information
HD01_VD55,"Estimate; Public transportation (excluding taxicab): - Finance and insurance, and real estate and rental and leasing"
HD02_VD55,"Margin of Error; Public transportation (excluding taxicab): - Finance and insurance, and real estate and rental and leasing"
HD01_VD56,"Estimate; Public transportation (excluding taxicab): - Professional, scientific, and management, and administrative and waste management services"
HD02_VD56,"Margin of Error; Public transportation (excluding taxicab): - Professional, scientific, and management, and administrative and waste management services"
HD01_VD57,"Estimate; Public transportation (excluding taxicab): - Educational services, and health care and social assistance"
HD02_VD57,"Margin of Error; Public transportation (excluding taxicab): - Educational services, and health care and social assistance"
HD01_VD58,"Estimate; Public transportation (excluding taxicab): - Arts, entertainment, and recreation, and accommodation and food services"
HD02_VD58,"Margin of Error; Public transportation (excluding taxicab): - Arts, entertainment, and recreation, and accommodation and food services"
HD01_VD59,Estimate; Public transportation (excluding taxicab): - Other services (except public administration)
HD02_VD59,Margin of Error; Public transportation (excluding taxicab): - Other services (except public administration)
HD01_VD60,Estimate; Public transportation (excluding taxicab): - Public administration
HD02_VD60,Margin of Error; Public transportation (excluding taxicab): - Public administration
HD01_VD61,Estimate; Public transportation (excluding taxicab): - Armed forces
HD02_VD61,Margin of Error; Public transportation (excluding taxicab): - Armed forces
HD01_VD62,Estimate; Walked:
HD02_VD62,Margin of Error; Walked:
HD01_VD63,"Estimate; Walked: - Agriculture, forestry, fishing and hunting, and mining"
HD02_VD63,"Margin of Error; Walked: - Agriculture, forestry, fishing and hunting, and mining"
HD01_VD64,Estimate; Walked: - Construction
HD02_VD64,Margin of Error; Walked: - Construction
HD01_VD65,Estimate; Walked: - Manufacturing
HD02_VD65,Margin of Error; Walked: - Manufacturing
HD01_VD66,Estimate; Walked: - Wholesale trade
HD02_VD66,Margin of Error; Walked: - Wholesale trade
HD01_VD67,Estimate; Walked: - Retail trade
HD02_VD67,Margin of Error; Walked: - Retail trade
HD01_VD68,"Estimate; Walked: - Transportation and warehousing, and utilities"
HD02_VD68,"Margin of Error; Walked: - Transportation and warehousing, and utilities"
HD01_VD69,Estimate; Walked: - Information
HD02_VD69,Margin of Error; Walked: - Information
HD01_VD70,"Estimate; Walked: - Finance and insurance, and real estate and rental and leasing"
HD02_VD70,"Margin of Error; Walked: - Finance and insurance, and real estate and rental and leasing"
HD01_VD71,"Estimate; Walked: - Professional, scientific, and management, and administrative and waste management services"
HD02_VD71,"Margin of Error; Walked: - Professional, scientific, and management, and administrative and waste management services"
HD01_VD72,"Estimate; Walked: - Educational services, and health care and social assistance"
HD02_VD72,"Margin of Error; Walked: - Educational services, and health care and social assistance"
HD01_VD73,"Estimate; Walked: - Arts, entertainment, and recreation, and accommodation and food services"
HD02_VD73,"Margin of Error; Walked: - Arts, entertainment, and recreation, and accommodation and food services"
HD01_VD74,Estimate; Walked: - Other services (except public administration)
HD02_VD74,Margin of Error; Walked: - Other services (except public administration)
HD01_VD75,Estimate; Walked: - Public administration
HD02_VD75,Margin of Error; Walked: - Public administration
HD01_VD76,Estimate; Walked: - Armed forces
HD02_VD76,Margin of Error; Walked: - Armed forces
HD01_VD77,"Estimate; Taxicab, motorcycle, bicycle, or other means:"
HD02_VD77,"Margin of Error; Taxicab, motorcycle, bicycle, or other means:"
HD01_VD78,"Estimate; Taxicab, motorcycle, bicycle, or other means: - Agriculture, forestry, fishing and hunting, and mining"
HD02_VD78,"Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Agriculture, forestry, fishing and hunting, and mining"
HD01_VD79,"Estimate; Taxicab, motorcycle, bicycle, or other means: - Construction"
HD02_VD79,"Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Construction"
HD01_VD80,"Estimate; Taxicab, motorcycle, bicycle, or other means: - Manufacturing"
HD02_VD80,"Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Manufacturing"
HD01_VD81,"Estimate; Taxicab, motorcycle, bicycle, or other means: - Wholesale trade"
HD02_VD81,"Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Wholesale trade"
HD01_VD82,"Estimate; Taxicab, motorcycle, bicycle, or other means: - Retail trade"
HD02_VD82,"Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Retail trade"
HD01_VD83,"Estimate; Taxicab, motorcycle, bicycle, or other means: - Transportation and warehousing, and utilities"
HD02_VD83,"Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Transportation and warehousing, and utilities"
HD01_VD84,"Estimate; Taxicab, motorcycle, bicycle, or other means: - Information"
HD02_VD84,"Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Information"
HD01_VD85,"Estimate; Taxicab, motorcycle, bicycle, or other means: - Finance and insurance, and real estate and rental and leasing"
HD02_VD85,"Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Finance and insurance, and real estate and rental and leasing"
HD01_VD86,"Estimate; Taxicab, motorcycle, bicycle, or other means: - Professional, scientific, and management, and administrative and waste management services"
HD02_VD86,"Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Professional, scientific, and management, and administrative and waste management services"
HD01_VD87,"Estimate; Taxicab, motorcycle, bicycle, or other means: - Educational services, and health care and social assistance"
HD02_VD87,"Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Educational services, and health care and social assistance"
HD01_VD88,"Estimate; Taxicab, motorcycle, bicycle, or other means: - Arts, entertainment, and recreation, and accommodation and food services"
HD02_VD88,"Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Arts, entertainment, and recreation, and accommodation and food services"
HD01_VD89,"Estimate; Taxicab, motorcycle, bicycle, or other means: - Other services (except public administration)"
HD02_VD89,"Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Other services (except public administration)"
HD01_VD90,"Estimate; Taxicab, motorcycle, bicycle, or other means: - Public administration"
HD02_VD90,"Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Public administration"
HD01_VD91,"Estimate; Taxicab, motorcycle, bicycle, or other means: - Armed forces"
HD02_VD91,"Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Armed forces"
HD01_VD92,Estimate; Worked at home:
HD02_VD92,Margin of Error; Worked at home:
HD01_VD93,"Estimate; Worked at home: - Agriculture, forestry, fishing and hunting, and mining"
HD02_VD93,"Margin of Error; Worked at home: - Agriculture, forestry, fishing and hunting, and mining"
HD01_VD94,Estimate; Worked at home: - Construction
HD02_VD94,Margin of Error; Worked at home: - Construction
HD01_VD95,Estimate; Worked at home: - Manufacturing
HD02_VD95,Margin of Error; Worked at home: - Manufacturing
HD01_VD96,Estimate; Worked at home: - Wholesale trade
HD02_VD96,Margin of Error; Worked at home: - Wholesale trade
HD01_VD97,Estimate; Worked at home: - Retail trade
HD02_VD97,Margin of Error; Worked at home: - Retail trade
HD01_VD98,"Estimate; Worked at home: - Transportation and warehousing, and utilities"
HD02_VD98,"Margin of Error; Worked at home: - Transportation and warehousing, and utilities"
HD01_VD99,Estimate; Worked at home: - Information
HD02_VD99,Margin of Error; Worked at home: - Information
HD01_VD100,"Estimate; Worked at home: - Finance and insurance, and real estate and rental and leasing"
HD02_VD100,"Margin of Error; Worked at home: - Finance and insurance, and real estate and rental and leasing"
